RIVER_NAME,RIVER_TYPE,RIVER_CODE,RIVER_FROM
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
牡丹溪,"3","204000330",
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
基隆河,"1","114030110",淡水河
小南灣坑,"5",,
小南灣坑,"5",,
小南灣坑,"5",,
南勢坑,"5",,
蚊子坑,"5",,
蚊子坑,"5",,
蚊子坑,"5",,
保長坑溪,"5",,
保長坑溪,"5",,
保長坑溪,"5",,
保長坑溪,"5",,
保長坑溪,"5",,
保長坑溪,"5",,
保長坑溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
內溝溪,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
內溝溪,"5",,
茄苳溪,"2","118010210",南崁溪
茄苳溪,"2","118010210",南崁溪
茄苳溪,"2","118010210",南崁溪
茄苳溪,"2","118010210",南崁溪
茄苳溪,"2","118010210",南崁溪
茄苳溪,"2","118010210",南崁溪
茄苳溪,"2","118010210",南崁溪
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
橫窠溪,"5",,
,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
水碓窠溪,"5",,
康誥坑溪,"5",,
康誥坑溪,"5",,
康誥坑溪,"5",,
康誥坑溪,"5",,
康誥坑溪,"5",,
康誥坑溪,"5",,
康誥坑溪,"5",,
大窠溪,"5",,
大窠溪,"5",,
大窠溪,"5",,
大窠溪,"5",,
大窠溪,"5",,
姜子寮溪,"5",,
姜子寮溪,"5",,
姜子寮溪,"5",,
石硿子溪,"5",,
石硿子溪,"5",,
石碇溪,"5",,
石碇溪,"5",,
石碇溪,"5",,
石碇溪,"5",,
石碇溪,"5",,
石碇溪,"5",,
石碇溪,"5",,
新寮溪,"5",,
新寮溪,"5",,
文秀坑溪,"5",,
文秀坑溪,"5",,
文秀坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
貴仔坑溪,"5",,
柯厝坑,"5",,
柯厝坑,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
四分溪,"5",,
牡丹溪,"3","204000330",
平林溪,"5",,
平林溪,"5",,
平林溪,"5",,
平林溪,"5",,
平林溪,"5",,
平林溪,"5",,
平林溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
十八份坑溪,"5",,
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
