ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
394,新北DF060,22.8,291080,2765725,北縣DF060
395,新北DF059,16.59,291206,2765089,北縣DF059
396,新北DF057,7.47,290545,2764323,北縣DF057
397,新北DF058,2.03,290854,2763959,北縣DF058
398,新北DF130,94.7,336255,2776013,北縣DF130
399,新北DF131,5.1,336035,2775249,北縣DF131
400,新北DF132,66.36,335537,2775457,北縣DF132
401,新北DF133,75.14,335264,2774629,北縣DF133
402,新北DF134,29.57,335234,2773734,北縣DF134
403,新北DF135,21.16,336316,2773254,北縣DF135
404,新北DF143,40.92,332926,2766949,北縣DF143
405,新北DF144,5.26,331983,2768654,北縣DF144
406,新北DF145,42.23,331412,2768915,北縣DF145
407,新北DF146,3.23,331571,2768376,北縣DF146
408,新北DF147,69.46,331047,2768611,北縣DF147
409,新北DF137,23.92,336518,2770891,北縣DF137
410,新北DF138,5.78,336536,2770555,北縣DF138
411,新北DF139,17.59,335902,2770612,北縣DF139
412,新北DF140,15.98,335719,2770493,北縣DF140
413,新北DF141,5.19,335284,2770317,北縣DF141
414,新北DF142,30.42,335598,2769086,北縣DF142
415,新北DF136,5.55,336037,2771627,北縣DF136
416,新北DF148,18.88,330934,2766869,北縣DF148
417,新北DF149,36.22,333605,2759158,北縣DF149
418,新北DF150,55.38,333126,2759566,北縣DF150
419,新北DF061,3.84,285908,2761740,北縣DF061
420,北市DF021,140.14,305603,2780278,台北058
421,北市DF022,19.95,307588,2778151,台北060
422,北市DF023,8.03,310139,2779951,台北A278
423,北市DF024,15.88,310103,2781197,台北A277
424,北市DF018,10.65,304024,2776379,台北A280
425,北市DF019,26.19,304756,2777031,台北A279
426,北市DF020,43.45,306800,2777136,台北059
427,北市DF025,27.03,304853,2775723,台北A281
428,北市DF039,4.32,310814,2775844,台北A288
429,北市DF040,9.29,310816,2776214,台北053
430,北市DF041,51.32,310555,2776698,台北054
431,北市DF042,298.95,309632,2777304,台北A287
432,北市DF049,40.86,307273,2776292,台北057
433,北市DF050,14.02,306016,2775896,台北A282
434,北市DF045,9.3,308861,2776165,台北A284
435,北市DF046,66.14,308299,2776810,台北055
436,北市DF047,4.26,308134,2775664,台北A283
437,北市DF048,20.77,307693,2775945,台北056
438,北市DF043,15.24,309613,2776111,台北A286
439,北市DF044,28.53,309006,2776493,台北A285
440,北市DF031,21.46,308283,2762756,台北019
441,北市DF032,91.8,308970,2762576,台北A297
442,北市DF033,115.11,309555,2763849,台北A296
443,北市DF008,195.49,301122,2783120,台北A270
444,北市DF011,72.4,300566,2783448,台北040
445,北市DF016,24.73,302628,2780182,台北A276
446,北市DF009,32.31,300575,2782620,台北A271
447,北市DF010,8.56,300264,2782447,台北A272
448,北市DF012,130.68,300173,2783653,台北039
449,北市DF013,4.3,299277,2782792,台北F96-4
450,北市DF017,33.77,302324,2780832,台北A275
451,北市DF004,41.52,302716,2783155,台北A266
452,北市DF005,45.02,302415,2783344,台北A267
453,北市DF006,12.1,302096,2782921,台北A268
454,北市DF007,35.77,301790,2782390,台北A269
455,北市DF015,20.91,298502,2781755,台北A274
456,北市DF001,9.21,305157,2785206,台北046
457,北市DF002,38.18,304371,2786078,台北045
458,北市DF003,63.05,306462,2785159,台北A265
459,北市DF014,8.82,299001,2782384,台北A273
460,北市DF028,50.66,308626,2768197,台北A293
461,北市DF029,30.07,308851,2768968,台北051
462,北市DF030,5.27,308846,2769255,台北052
463,北市DF026,7.15,307690,2767595,台北A295
464,北市DF027,8.86,307909,2767601,台北A294
465,北市DF036,18.97,312154,2768574,台北050
466,北市DF034,5.71,310070,2770011,台北A289
467,北市DF035,7.2,310006,2769953,台北A290
468,北市DF037,38.12,313925,2769153,台北A291
469,北市DF038,16.87,314166,2769112,台北A292
470,桃市DF018,43.09,281387,2750050,桃縣DF018
471,桃市DF019,43.29,281654,2750476,桃縣DF019
472,桃市DF014,24.42,280259,2746116,桃縣DF014
473,桃市DF015,8.82,279834,2746791,桃縣DF015
474,桃市DF016,3.49,280152,2747400,桃縣DF016
475,桃市DF020,117.78,284292,2750209,桃縣DF020
476,桃市DF021,20.81,285229,2749685,桃縣DF021
477,桃市DF013,28.61,277303,2746391,桃縣DF013
478,桃市DF052,10,276986,2746267,桃縣H103-2
479,桃市DF017,49.59,280856,2749360,桃縣DF017
480,桃市DF011,18.21,282463,2767696,桃縣DF011
481,桃市DF012,5.83,282441,2767866,桃縣DF012
482,桃市DF022,9.53,284579,2747525,桃縣DF022
483,桃市DF023,22.46,284221,2747300,桃縣DF023
484,桃市DF024,30.74,284466,2745509,桃縣DF024
485,桃市DF037,71.41,287370,2728389,桃縣DF037
486,桃市DF038,245.08,288359,2727974,桃縣DF038
487,桃市DF028,32.33,279448,2743196,桃縣DF028
488,桃市DF029,161.92,278856,2741176,桃縣DF029
489,桃市DF027,45.02,283821,2741916,桃縣DF027
490,桃市DF053,31.41,283066,2740825,桃市H104-1
491,桃市DF035,495.51,285003,2732344,桃縣DF035
492,桃市DF036,21.26,287546,2731688,桃縣DF036
493,桃市DF039,70.32,291914,2727845,桃縣DF039
494,桃市DF040,46.57,292674,2727320,桃縣DF040
495,桃市DF041,85.84,293427,2727288,桃縣DF041
496,桃市DF042,52.17,294266,2727224,桃縣DF042
497,桃市DF043,112.31,295058,2727122,桃縣DF043
498,桃市DF044,1161.19,293210,2733818,桃縣DF044
499,桃市DF045,175.39,287863,2739894,桃縣DF045
500,桃市DF046,31.5,287430,2740837,桃縣DF046
501,桃市DF047,32.94,287360,2741376,桃縣DF047
502,桃市DF048,572.89,289504,2740771,桃縣DF048
503,桃市DF049,177.7,289866,2741478,桃縣DF049
504,桃市DF025,10.7,285183,2745217,桃縣DF025
